,year_built,Price,km_driven,fuel,seller_type,transmission,previous_owners,Brand,Model
0,2007,60000,70000,Petrol,Individual,Manual,Zero,Maruti,Maruti 800 AC
1,2007,135000,50000,Petrol,Individual,Manual,Zero,Maruti,Maruti Wagon R
2,2012,600000,100000,Diesel,Individual,Manual,Zero,Hyundai,Hyundai Verna 1.6
3,2017,250000,46000,Petrol,Individual,Manual,Zero,Datsun,Datsun RediGO T
4,2014,450000,141000,Diesel,Individual,Manual,One,Honda,Honda Amaze VX
5,2007,140000,125000,Petrol,Individual,Manual,Zero,Maruti,Maruti Alto LX
6,2016,550000,25000,Petrol,Individual,Manual,Zero,Hyundai,Hyundai Xcent 1.2
7,2014,240000,60000,Petrol,Individual,Manual,One,Tata,Tata Indigo Grand
8,2015,850000,25000,Petrol,Individual,Manual,Zero,Hyundai,Hyundai Creta 1.6
9,2017,365000,78000,CNG,Individual,Manual,Zero,Maruti,Maruti Celerio Green
10,2015,260000,35000,Petrol,Individual,Manual,Zero,Chevrolet,Chevrolet Sail 1.2
11,2014,250000,100000,Petrol,Individual,Manual,Zero,Tata,Tata Indigo Grand
12,2018,1650000,25000,Petrol,Dealer,Automatic,Zero,Toyota,Toyota Corolla Altis
13,2007,60000,70000,Petrol,Individual,Manual,Zero,Maruti,Maruti 800 AC
14,2007,135000,50000,Petrol,Individual,Manual,Zero,Maruti,Maruti Wagon R
15,2012,600000,100000,Diesel,Individual,Manual,Zero,Hyundai,Hyundai Verna 1.6
16,2017,250000,46000,Petrol,Individual,Manual,Zero,Datsun,Datsun RediGO T
17,2014,450000,141000,Diesel,Individual,Manual,One,Honda,Honda Amaze VX
18,2007,140000,125000,Petrol,Individual,Manual,Zero,Maruti,Maruti Alto LX
19,2016,550000,25000,Petrol,Individual,Manual,Zero,Hyundai,Hyundai Xcent 1.2
20,2014,240000,60000,Petrol,Individual,Manual,One,Tata,Tata Indigo Grand
21,2015,850000,25000,Petrol,Individual,Manual,Zero,Hyundai,Hyundai Creta 1.6
22,2017,365000,78000,CNG,Individual,Manual,Zero,Maruti,Maruti Celerio Green
23,2015,260000,35000,Petrol,Individual,Manual,Zero,Chevrolet,Chevrolet Sail 1.2
24,2014,250000,100000,Petrol,Individual,Manual,Zero,Tata,Tata Indigo Grand
25,2018,1650000,25000,Petrol,Dealer,Automatic,Zero,Toyota,Toyota Corolla Altis
26,2015,585000,24000,Petrol,Dealer,Manual,Zero,Maruti,Maruti Ciaz VXi
27,2019,1195000,5000,Diesel,Dealer,Manual,Zero,Hyundai,Hyundai Venue SX
